,BTC_close
2015-08-07,277.89
2015-08-08,258.6
2015-08-09,263.87
2015-08-10,263.3
2015-08-11,269.03
2015-08-12,267.66
2015-08-13,263.44
2015-08-14,265.03
2015-08-15,260.52
2015-08-16,257.12
2015-08-17,257.13
2015-08-18,246.72
2015-08-19,226.0
2015-08-20,234.66
2015-08-21,232.4
2015-08-22,229.54
2015-08-23,226.75
2015-08-24,211.43
2015-08-25,220.51
2015-08-26,224.97
2015-08-27,222.73
2015-08-28,231.64
2015-08-29,228.5
2015-08-30,228.4
2015-08-31,229.47
2015-09-01,227.18
2015-09-02,228.63
2015-09-03,226.2
2015-09-04,230.25
2015-09-05,233.67
2015-09-06,239.86
2015-09-07,239.58
2015-09-08,243.24
2015-09-09,237.41
2015-09-10,238.08
2015-09-11,239.9
2015-09-12,235.6
2015-09-13,230.19
2015-09-14,229.91
2015-09-15,229.53
2015-09-16,228.6
2015-09-17,232.72
2015-09-18,232.21
2015-09-19,231.11
2015-09-20,231.09
2015-09-21,226.33
2015-09-22,230.01
2015-09-23,229.89
2015-09-24,233.76
2015-09-25,235.03
2015-09-26,234.3
2015-09-27,232.5
2015-09-28,238.87
2015-09-29,236.71
2015-09-30,235.93
2015-10-01,237.05
2015-10-02,236.71
2015-10-03,238.58
2015-10-04,238.33
2015-10-05,240.15
2015-10-06,246.14
2015-10-07,242.98
2015-10-08,242.58
2015-10-09,244.04
2015-10-10,245.35
2015-10-11,247.65
2015-10-12,245.35
2015-10-13,248.78
2015-10-14,252.33
2015-10-15,254.44
2015-10-16,262.87
2015-10-17,269.58
2015-10-18,261.67
2015-10-19,263.82
2015-10-20,269.75
2015-10-21,267.11
2015-10-22,274.42
2015-10-23,276.92
2015-10-24,282.56
2015-10-25,287.86
2015-10-26,285.15
2015-10-27,294.66
2015-10-28,303.54
2015-10-29,313.63
2015-10-30,327.12
2015-10-31,311.24
2015-11-01,322.95
2015-11-02,359.28
2015-11-03,396.49
2015-11-04,400.89
2015-11-05,382.7
2015-11-06,369.81
2015-11-07,385.09
2015-11-08,371.56
2015-11-09,380.22
2015-11-10,336.69
2015-11-11,304.71
2015-11-12,333.85
2015-11-13,333.77
2015-11-14,331.77
2015-11-15,317.45
2015-11-16,330.21
2015-11-17,333.91
2015-11-18,335.92
2015-11-19,324.98
2015-11-20,321.12
2015-11-21,324.7
2015-11-22,322.78
2015-11-23,322.12
2015-11-24,318.35
2015-11-25,327.52
2015-11-26,353.74
2015-11-27,359.52
2015-11-28,355.83
2015-11-29,370.84
2015-11-30,377.97
2015-12-01,361.8
2015-12-02,359.98
2015-12-03,360.31
2015-12-04,361.67
2015-12-05,386.69
2015-12-06,393.38
2015-12-07,394.28
2015-12-08,410.67
2015-12-09,416.0
2015-12-10,415.49
2015-12-11,449.83
2015-12-12,432.29
2015-12-13,434.69
2015-12-14,442.0
2015-12-15,462.65
2015-12-16,453.98
2015-12-17,455.53
2015-12-18,463.18
2015-12-19,461.2
2015-12-20,441.78
2015-12-21,437.59
2015-12-22,437.03
2015-12-23,442.43
2015-12-24,452.98
2015-12-25,454.05
2015-12-26,415.37
2015-12-27,422.39
2015-12-28,421.76
2015-12-29,431.92
2015-12-30,427.15
2015-12-31,429.95
